ID M_s SFR SSFR M halfmassrad halfmassrad_s Label
504294.0 20816400000.0 0.188151 9.038594569666225e-12 703480000000.0 58.6091 2.1027 0.0
583867.0 4246580000.0 0.658407 1.550440589839353e-10 204330000000.0 37.5446 1.6445 1.0
290205.0 25613700000.0 0.0 0.0 243253999999.99997 20.2674 2.7679 0.0
385081.0 3364380000.0 0.318327 9.46168387637544e-11 18970000000.0 4.0745 2.1726 1.0
535983.0 7052580000.000001 1.06071 1.504002790468169e-10 416081000000.0 49.5754 5.2819 1.0
274965.0 5079169999.999999 0.600202 1.1816930718995428e-10 69228000000.0 11.1403 3.1593 1.0
582477.0 4998550000.0 0.300808 6.017905192505826e-11 222679000000.0 33.8139 3.2926 1.0
22.0 35833400000.0 0.0 0.0 263261000000.0 16.815 2.412 0.0
584162.0 4577500000.0 1.43827 3.14204259967231e-10 198060000000.0 30.3403 2.9517 1.0
255946.0 18362200000.0 6.6895 3.6430819836403047e-10 645727000000.0 53.0766 5.3513 1.0
578841.0 4765690000.0 0.686576 1.440664415855836e-10 221014000000.00003 42.2773 2.8182 1.0
114979.0 148281000000.0 0.0 0.0 1843570000000.0 45.9457 9.4325 0.0
273683.0 16089000000.0 0.0 0.0 41158400000.00001 2.4791 1.6362 0.0
69392.0 5444780000.0 0.0 0.0 21808000000.0 2.6846 1.8089 0.0
378802.0 36316500000.0 0.436386 1.2016190987567635e-11 1584990000000.0 103.383 1.8292 1.0
520443.0 8823400000.0 0.744894 8.442255819752023e-11 343495000000.0 38.1555 2.2161 1.0
412835.0 2833840000.0000005 0.0436832 1.541484346328656e-11 67089900000.0 16.0004 1.9018 1.0
629894.0 2542280000.0 0.543951 2.1396187674056358e-10 102628000000.0 21.804 2.9511 1.0
533814.0 5542450000.0 0.283839 5.121182870391253e-11 412361999999.99994 67.0174 1.4077 1.0
574278.0 8943600000.0 0.304192 3.401225457310256e-11 262740000000.0 39.9237 2.3966 1.0
26759.0 7560380000.0 0.0 0.0 18101600000.0 2.7874 1.6591 0.0
566638.0 7939430000.0 0.567147 7.143422134838395e-11 255204999999.99997 33.5131 4.6744 1.0
486640.0 9777990000.0 1.03003 1.0534169087920933e-10 641164000000.0 56.666 4.846 1.0
533613.0 14973900000.0 0.923312 6.166142421146128e-11 408027000000.0 44.8694 1.6946 1.0
233246.0 25298800000.0 5.57538 2.2038120385156607e-10 98148800000.0 6.3262 2.8457 1.0
588230.0 3973580000.0 0.387147 9.743027697944927e-11 198846000000.0 33.3383 1.4804 1.0
552835.0 9302250000.0 0.559695 6.016770136257358e-11 361118000000.0 42.6706 2.0317 1.0
591229.0 2308190000.0 0.176415 7.643001659308808e-11 201104000000.0 34.127 1.8678 1.0
571866.0 8522930000.0 0.627264 7.35972253673326e-11 235989000000.0 28.4659 2.1933 1.0
533657.0 9985600000.0 1.85098 1.853649254927095e-10 432859000000.0 48.096 1.6502 1.0
315209.0 22771600000.0 2.46119 1.080815577298038e-10 324071000000.0 25.4801 3.7391 1.0
478200.0 32940500000.0 0.00115533 3.507323811113978e-14 1106930000000.0 59.7021 1.6087 0.0
585830.0 4854160000.0 0.960724 1.9791766237618867e-10 220196000000.0 33.3462 2.1043 1.0
13802.0 2311090000.0 0.0 0.0 4303060000.0 1.2071 1.1582 0.0
37442.0 23781500000.000004 0.0 0.0 256023000000.0 26.3109 2.7228 0.0
441917.0 29296600000.0 4.81483 1.6434774001078622e-10 1261190000000.0 81.0475 4.1499 1.0
646993.0 3284800000.0 0.0132652 4.038358499756454e-12 81782800000.00002 18.2859 2.1852 0.0
69335.0 57320000000.0 0.0 0.0 199353000000.00003 8.5738 4.8074 0.0
265360.0 3203710000.0 0.520899 1.6259243189926678e-10 164377000000.0 24.1691 2.3361 1.0
234363.0 2328070000.0 0.0 0.0 7141130000.0 2.3522 1.8798 0.0
447993.0 43562200000.00001 0.0 0.0 1618230000000.0 73.5488 1.9592 0.0
565911.0 3679980000.0 0.738456 2.0066848189392335e-10 258717000000.0 44.2047 4.2852 1.0
459647.0 26509000000.0 1.93456 7.297747934663699e-11 988177000000.0 82.9786 3.3178 1.0
551338.0 16857200000.000002 0.0 0.0 359580000000.0 35.4689 1.6258 0.0
